Keyword,Detik,CNBC,Tribun
PLTB Sidrap,63,39,79
Pembangkit Listrik Tenaga Bayu,189,190,20
Wattang Pulu,0,0,3
Kincir Angin Sidrap,8,12,4
Sidrap Energi Bayu,63,26,0
Tenaga Angin,0,686,0
Sulawesi Selatan PLTB,82,36,0
Tanah,0,0,0
CSR,0,2,0
UPC Renewables,8,2,1
PT. UPC Sidrap Bayu Energi,8,0,4
Mattirotasi PLTB,8,2,0
Kebun Angin,59,37,1
PLTS Terapung,53,70,8
Bendungan Cirata,29,4,32
PLTS Terapung Cirata,13,48,2
Pembangkit listrik tenaga surya (PLTS),730,0,7
Waduk Cirata PLTS,9,23,0
PLTS Cina,4,0,0
PLTS Tiongkok,5,23,0
PLTS,60,945,20
PT. Sinohydro,67,28,0